affiliationid,normalizedname,displayname,university_normalized,University,Country
2799867020,darlington college,Darlington College,darlington college,NA,NA
2799899409,hadassah medical center,Hadassah Medical Center,hadassah medical center,NA,NA
2799962816,university of maine school of law,University of Maine School of Law,university of maine school of law,NA,NA
2800279901,earthquake engineering research institute,Earthquake Engineering Research Institute,earthquake engineering research institute,NA,NA
2800308357,schlow centre region library,Schlow Centre Region Library,schlow centre region library,NA,NA
2800549439,hellenic foundation for european and foreign policy,Hellenic Foundation for European and Foreign Policy,hellenic foundation for european and foreign policy,NA,NA
2800600247,haydom lutheran hospital,Haydom Lutheran Hospital,haydom lutheran hospital,NA,NA
2800671109,breach candy hospital,Breach Candy Hospital,breach candy hospital,NA,NA
2800927422,mufg union bank,MUFG Union Bank,mufg union bank,NA,NA
2801136292,geological museum of china,Geological Museum of China,geological museum of china,NA,NA
2801159745,huntsman cancer institute,Huntsman Cancer Institute,huntsman cancer institute,NA,NA
2801193114,fetzer institute,Fetzer Institute,fetzer institute,NA,NA
2801250990,lake michigan college,Lake Michigan College,lake michigan college,NA,NA
2801382319,royal jubilee hospital,Royal Jubilee Hospital,royal jubilee hospital,NA,NA
2801415944,kettering general hospital,Kettering General Hospital,kettering general hospital,NA,NA
2801518249,nawaloka hospital,Nawaloka Hospital,nawaloka hospital,NA,NA
2801756270,north atlantic salmon conservation organization,North Atlantic Salmon Conservation Organization,north atlantic salmon conservation organization,NA,NA
2801828714,american academy of allergy asthma and immunology,"American Academy of Allergy, Asthma and Immunology","american academy of allergy, asthma and immunology",NA,NA
2801852214,university of washington medical center,University of Washington Medical Center,university of washington medical center,NA,NA
2802074882,wildlands network,Wildlands Network,wildlands network,NA,NA
2802142324,universita degli studi suor orsola benincasa,Università degli Studi Suor Orsola Benincasa,universita degli studi suor orsola benincasa,NA,NA
2802229770,atlantic philanthropies,Atlantic Philanthropies,atlantic philanthropies,NA,NA
2802735047,european nuclear education network,European Nuclear Education Network,european nuclear education network,NA,NA
2802751111,royal national orthopaedic hospital,Royal National Orthopaedic Hospital,royal national orthopaedic hospital,NA,NA
2802787529,luxinnovation,Luxinnovation,luxinnovation,NA,NA
2802866506,st elizabeth healthcare,St. Elizabeth Healthcare,st. elizabeth healthcare,NA,NA
2802992155,riverview medical center,Riverview Medical Center,riverview medical center,NA,NA
2978794417,columbus technical college,Columbus Technical College,columbus technical college,NA,NA
4528857,university of kuala lumpur,University of Kuala Lumpur,university of kuala lumpur,NA,NA
9130074,shanghai volkswagen,Shanghai Volkswagen,shanghai volkswagen,NA,NA
10017102,agricultural university of tirana,Agricultural University of Tirana,agricultural university of tirana,NA,NA
10180231,national authority for remote sensing and space sciences,National Authority for Remote Sensing and Space Sciences,national authority for remote sensing and space sciences,NA,NA
12708293,swiss institute of bioinformatics,Swiss Institute of Bioinformatics,swiss institute of bioinformatics,NA,NA
16295237,gansu agricultural university,Gansu Agricultural University,gansu agricultural university,NA,NA
16518940,hong kong institute of vocational education,Hong Kong Institute of Vocational Education,hong kong institute of vocational education,NA,NA
18559436,save the elephants,Save the Elephants,save the elephants,NA,NA
21215505,al quds university,Al-Quds University,al-quds university,NA,NA
21419654,nanyang polytechnic,Nanyang Polytechnic,nanyang polytechnic,NA,NA
23736277,polytechnic of rijeka,Polytechnic of Rijeka,polytechnic of rijeka,NA,NA
25607154,juraj dobrila university of pula,Juraj Dobrila University of Pula,juraj dobrila university of pula,NA,NA
26299570,seitoku university,Seitoku University,seitoku university,NA,NA
28252208,d youville college,D'Youville College,d'youville college,NA,NA
28578482,banco do nordeste,Banco do Nordeste,banco do nordeste,NA,NA
28903072,simon kucher partners,Simon-Kucher & Partners,simon-kucher & partners,NA,NA
31022496,kobe women s university,Kobe Women's University,kobe women's university,NA,NA
35320396,the family planning association of hong kong,The Family Planning Association of Hong Kong,the family planning association of hong kong,NA,NA
35777872,north carolina agricultural and technical state university,North Carolina Agricultural and Technical State University,north carolina agricultural and technical state university,NA,NA
46043019,berlin university of the arts,Berlin University of the Arts,berlin university of the arts,NA,NA
47178396,acropolis institute of technology research,Acropolis Institute of Technology & Research,acropolis institute of technology & research,NA,NA
51587986,mauna kea technologies,Mauna Kea Technologies,mauna kea technologies,NA,NA
55392801,stats chippac ltd,STATS ChipPAC Ltd,stats chippac ltd,NA,NA
61565387,dalian nationalities university,Dalian Nationalities University,dalian nationalities university,NA,NA
65065105,national communications commission,National Communications Commission,national communications commission,NA,NA
65595360,royal roads university,Royal Roads University,royal roads university,NA,NA
66559637,tenshi college,Tenshi College,tenshi college,NA,NA
73006496,international commission on missing persons,International Commission on Missing Persons,international commission on missing persons,NA,NA
74697466,zymogenetics,ZymoGenetics,zymogenetics,NA,NA
78118328,indian statistical institute delhi centre,"Indian Statistical Institute, Delhi Centre","indian statistical institute, delhi centre",NA,NA
78386829,salish kootenai college,Salish Kootenai College,salish kootenai college,NA,NA
78492013,avenir suisse,Avenir Suisse,avenir suisse,NA,NA
78641905,transylvania university,Transylvania University,transylvania university,NA,NA
80201079,credit suisse,Credit Suisse,credit suisse,NA,NA
82930923,society for research into higher education,Society for Research into Higher Education,society for research into higher education,NA,NA
88653740,mccann erickson,McCann Erickson,mccann erickson,NA,NA
103320735,catholic university of the sacred heart,Catholic University of the Sacred Heart,catholic university of the sacred heart,NA,NA
110002522,university of essex,University of Essex,university of essex,University of Essex,United Kingdom
112754052,sambalpur university,Sambalpur University,sambalpur university,NA,NA
115020962,new england biolabs,New England Biolabs,new england biolabs,NA,NA
119575151,korea national university of transportation,Korea National University of Transportation,korea national university of transportation,NA,NA
127237049,royal society of medicine,Royal Society of Medicine,royal society of medicine,NA,NA
128642931,center for technology in government,Center for Technology in Government,center for technology in government,NA,NA
134934584,cytec industries inc,Cytec Industries Inc.,cytec industries inc.,NA,NA
135805028,osaka university of health and sport sciences,Osaka University of Health and Sport Sciences,osaka university of health and sport sciences,NA,NA
151903974,national institute of technology silchar,"National Institute of Technology, Silchar","national institute of technology, silchar",NA,NA
158333209,bangor theological seminary,Bangor Theological Seminary,bangor theological seminary,NA,NA
161332745,national children s bureau,National Children's Bureau,national children's bureau,NA,NA
180539885,walsh university,Walsh University,walsh university,NA,NA
188522409,critical software,Critical Software,critical software,NA,NA
200358475,anglo european college of chiropractic,Anglo-European College of Chiropractic,anglo-european college of chiropractic,NA,NA
201437548,el camino college,El Camino College,el camino college,NA,NA
203257799,thomas more college,Thomas More College,thomas more college,NA,NA
204289627,huaibei coal industry teachers college,Huaibei Coal Industry Teachers College,huaibei coal industry teachers college,NA,NA
206476154,seadrill,Seadrill,seadrill,NA,NA
207845377,krishna engineering college,Krishna Engineering College,krishna engineering college,NA,NA
245322490,maxim tank belarusian state pedagogical university,Maxim Tank Belarusian State Pedagogical University,maxim tank belarusian state pedagogical university,NA,NA
248710770,calicut medical college,Calicut Medical College,calicut medical college,NA,NA
301377464,royal thimphu college,Royal Thimphu College,royal thimphu college,NA,NA
305836302,instituto nacional de colonizacao e reforma agraria,Instituto Nacional de Colonização e Reforma Agrária,instituto nacional de colonizacao e reforma agraria,NA,NA
342859970,universidad catolica de oriente,Universidad Católica de Oriente,universidad catolica de oriente,NA,NA
886490113,faculty of management studies,Faculty of Management Studies,faculty of management studies,NA,NA
908855801,edwards lifesciences corporation,Edwards Lifesciences Corporation,edwards lifesciences corporation,NA,NA
909921419,michigan association of broadcasters,Michigan Association of Broadcasters,michigan association of broadcasters,NA,NA
911545955,st david s college llandudno,"St David's College, Llandudno","st david's college, llandudno",NA,NA
927599936,gibraltar hardware,Gibraltar Hardware,gibraltar hardware,NA,NA
1287831202,david suzuki foundation,David Suzuki Foundation,david suzuki foundation,NA,NA
1289110261,belfast health and social care trust,Belfast Health and Social Care Trust,belfast health and social care trust,NA,NA
1292479470,usana health sciences,USANA Health Sciences,usana health sciences,NA,NA
1302611135,chinese ministry of public security,Chinese Ministry of Public Security,chinese ministry of public security,NA,NA
1306415409,museu paulista,Museu Paulista,museu paulista,NA,NA
1310269161,citrix systems,Citrix Systems,citrix systems,NA,NA
1315015637,military police of sao paulo state,Military Police of São Paulo State,military police of sao paulo state,NA,NA
1319772413,croatian chamber of economy,Croatian Chamber of Economy,croatian chamber of economy,NA,NA
1325219128,ulyanovsk state pedagogical university,Ulyanovsk State Pedagogical University,ulyanovsk state pedagogical university,NA,NA
1327030621,skunk works,Skunk Works,skunk works,NA,NA
1327992077,open society foundations,Open Society Foundations,open society foundations,NA,NA
1332873766,bank of the republic,Bank of the Republic,bank of the republic,NA,NA
1335991649,new york state education department,New York State Education Department,new york state education department,NA,NA
1340031499,faculdade de medicina de sao jose do rio preto,Faculdade de Medicina de São José do Rio Preto,faculdade de medicina de sao jose do rio preto,NA,NA
1341284090,royal swedish academy of sciences,Royal Swedish Academy of Sciences,royal swedish academy of sciences,NA,NA
2799351866,government of india,Government of India,government of india,NA,NA
2799411762,american parkinson disease association,American Parkinson Disease Association,american parkinson disease association,NA,NA
2799553609,rothamsted research,Rothamsted Research,rothamsted research,NA,NA
2799637809,central kitsap school district,Central Kitsap School District,central kitsap school district,NA,NA
2799835767,adeleke university,Adeleke University,adeleke university,NA,NA
2799945493,alabama historical commission,Alabama Historical Commission,alabama historical commission,NA,NA
2799976611,wildlife conservation society canada,Wildlife Conservation Society Canada,wildlife conservation society canada,NA,NA
2800154810,leo baeck college,Leo Baeck College,leo baeck college,NA,NA
2800245428,county of los angeles public library,County of Los Angeles Public Library,county of los angeles public library,NA,NA
2800304270,silesian museum,Silesian Museum,silesian museum,NA,NA
2800435062,van hall larenstein university of applied sciences,Van Hall Larenstein University of Applied Sciences,van hall larenstein university of applied sciences,NA,NA
2800443484,atlantic canada opportunities agency,Atlantic Canada Opportunities Agency,atlantic canada opportunities agency,NA,NA
2800516724,royal hospital for neuro disability,Royal Hospital for Neuro-disability,royal hospital for neuro-disability,NA,NA
2800580651,melbourn science park,Melbourn Science Park,melbourn science park,NA,NA
2801005922,ceratizit luxembourg,Ceratizit (Luxembourg),ceratizit (luxembourg),NA,NA
2801129757,wellington hospital,Wellington Hospital,wellington hospital,NA,NA
2801156593,osaka college of social health and welfare,Osaka College of Social Health and Welfare,osaka college of social health and welfare,NA,NA
2801187332,accademia nazionale dei lincei,Accademia Nazionale dei Lincei,accademia nazionale dei lincei,NA,NA
2801266009,silverton hospital,Silverton Hospital,silverton hospital,NA,NA
2801393087,itasca community college,Itasca Community College,itasca community college,NA,NA
2801669782,dairy farmers of ontario,Dairy Farmers of Ontario,dairy farmers of ontario,NA,NA
2801724664,newton public schools,Newton Public Schools,newton public schools,NA,NA
2801887429,north american association of central cancer registries,North American Association of Central Cancer Registries,north american association of central cancer registries,NA,NA
2801997990,japan meteorological agency,Japan Meteorological Agency,japan meteorological agency,NA,NA
2802384920,stennis space center,Stennis Space Center,stennis space center,NA,NA
2802466914,t d medical college,T. D. Medical College,t. d. medical college,NA,NA
2802573037,tianjin medical university cancer institute and hospital,Tianjin Medical University Cancer Institute and Hospital,tianjin medical university cancer institute and hospital,NA,NA
2802608245,world forestry center,World Forestry Center,world forestry center,NA,NA
2802945493,port of spain general hospital,Port of Spain General Hospital,port of spain general hospital,NA,NA
1175298,randolph college,Randolph College,randolph college,NA,NA
1921588,university of wisconsin stout,University of Wisconsin–Stout,university of wisconsin-stout,NA,NA
4654613,university of warsaw,University of Warsaw,university of warsaw,University of Warsaw,Poland
6178835,ibaraki university,Ibaraki University,ibaraki university,NA,NA
10266757,harold washington college,Harold Washington College,harold washington college,NA,NA
16748637,celal bayar university,Celal Bayar University,celal bayar university,NA,NA
32686375,danish meteorological institute,Danish Meteorological Institute,danish meteorological institute,NA,NA
34842282,thadomal shahani engineering college,Thadomal Shahani Engineering College,thadomal shahani engineering college,NA,NA
37426187,stockholm environment institute us center,Stockholm Environment Institute US Center,stockholm environment institute us center,NA,NA
38523324,university of applied sciences wiener neustadt,University of Applied Sciences Wiener Neustadt,university of applied sciences wiener neustadt,NA,NA
40053085,australian defence force academy,Australian Defence Force Academy,australian defence force academy,NA,NA
40445986,lloyd s register,Lloyd's Register,lloyd's register,NA,NA
53150469,feza gursey institute,Feza Gürsey Institute,feza gursey institute,NA,NA
55654194,inner mongolia university of technology,Inner Mongolia University of Technology,inner mongolia university of technology,NA,NA
59483232,shandong university of finance and economics,Shandong University of Finance and Economics,shandong university of finance and economics,NA,NA
59837728,korea national oil corporation,Korea National Oil Corporation,korea national oil corporation,NA,NA
60251810,caucasus institute for peace democracy and development,"Caucasus Institute for Peace, Democracy and Development","caucasus institute for peace, democracy and development",NA,NA
70142633,abhedananda mahavidyalaya,Abhedananda Mahavidyalaya,abhedananda mahavidyalaya,NA,NA
79274474,university of valparaiso,University of Valparaíso,university of valparaiso,NA,NA
87302398,norwegian polar institute,Norwegian Polar Institute,norwegian polar institute,NA,NA
98607628,point loma nazarene university,Point Loma Nazarene University,point loma nazarene university,NA,NA
99861883,university of zanjan,University of Zanjan,university of zanjan,University of Zanjan,Iran
112536369,yazd university,Yazd University,yazd university,NA,NA
113848333,ibaraki prefectural university of health sciences,Ibaraki Prefectural University of Health Sciences,ibaraki prefectural university of health sciences,NA,NA
120211325,university of wisconsin barron county,University of Wisconsin–Barron County,university of wisconsin-barron county,NA,NA
134429446,tower international,Tower International,tower international,NA,NA
146148859,showa women s university,Showa Women's University,showa women's university,NA,NA
146436837,tajik state pedagogical university,Tajik State Pedagogical University,tajik state pedagogical university,NA,NA
155877724,omek interactive,Omek Interactive,omek interactive,NA,NA
155954240,murray state college,Murray State College,murray state college,NA,NA
162225054,north lakhimpur college,North Lakhimpur College,north lakhimpur college,NA,NA
165733156,university of georgia,University of Georgia,university of georgia,NA,NA
168192097,mitsubishi chemical corporation,Mitsubishi Chemical Corporation,mitsubishi chemical corporation,NA,NA
168824072,crops research institute,Crops Research Institute,crops research institute,NA,NA
171048554,ceremade,CEREMADE,ceremade,NA,NA
173683023,kirkwood community college,Kirkwood Community College,kirkwood community college,NA,NA
177877127,university of western australia,University of Western Australia,university of western australia,University of Western Australia,Australia
181996519,indian institute of science education and research pune,"Indian Institute of Science Education and Research, Pune","indian institute of science education and research, pune",NA,NA
192260923,dorset wildlife trust,Dorset Wildlife Trust,dorset wildlife trust,NA,NA
193073490,siksha o anusandhan university,Siksha O Anusandhan University,siksha o anusandhan university,NA,NA
202122006,sehan university,Sehan University,sehan university,NA,NA
204753522,bristol community college,Bristol Community College,bristol community college,NA,NA
205274468,trinity college,"Trinity College, Dublin","trinity college, dublin",NA,NA
240413982,suzano papel e celulose,Suzano Papel e Celulose,suzano papel e celulose,NA,NA
311134598,tecnologico de monterrey campus santa fe,"Tecnológico de Monterrey, Campus Santa Fe","tecnologico de monterrey, campus santa fe",NA,NA
547610034,nishi nippon railroad,Nishi-Nippon Railroad,nishi-nippon railroad,NA,NA
886237282,repligen corporation,Repligen Corporation,repligen corporation,NA,NA
893914191,ragas dental college hospital,Ragas Dental College & Hospital,ragas dental college & hospital,NA,NA
1284353912,ventana medical systems,Ventana Medical Systems,ventana medical systems,NA,NA
1285730425,medical center of central georgia,Medical Center of Central Georgia,medical center of central georgia,NA,NA
1289739345,winthrop university hospital,Winthrop-University Hospital,winthrop-university hospital,NA,NA
1292059259,illinois department of transportation,Illinois Department of Transportation,illinois department of transportation,NA,NA
1302978242,academy of medical sciences united kingdom,"Academy of Medical Sciences, United Kingdom","academy of medical sciences, united kingdom",NA,NA
1310439424,accenture,Accenture,accenture,NA,NA
1316011043,center for american progress,Center for American Progress,center for american progress,NA,NA
1328773523,metropolitan police service,Metropolitan Police Service,metropolitan police service,NA,NA
1332791849,sterling hospitals,Sterling Hospitals,sterling hospitals,NA,NA
1336909127,competitive enterprise institute,Competitive Enterprise Institute,competitive enterprise institute,NA,NA
2799290049,summerlin hospital medical center,Summerlin Hospital Medical Center,summerlin hospital medical center,NA,NA
2799387388,curtis institute of music,Curtis Institute of Music,curtis institute of music,NA,NA
2799406666,asian center for theological studies and mission,Asian Center for Theological Studies and Mission,asian center for theological studies and mission,NA,NA
2799418822,office of ocean exploration and research,Office of Ocean Exploration and Research,office of ocean exploration and research,NA,NA
2799762535,cpa australia,CPA Australia,cpa australia,NA,NA
2799869770,chelsea and westminster hospital nhs foundation trust,Chelsea and Westminster Hospital NHS Foundation Trust,chelsea and westminster hospital nhs foundation trust,NA,NA
2799982174,open source drug discovery,Open Source Drug Discovery,open source drug discovery,NA,NA
2800007259,shupyk national medical academy of postgraduate education,Shupyk National Medical Academy of Postgraduate Education,shupyk national medical academy of postgraduate education,NA,NA
2800142400,skolkovo moscow school of management,Skolkovo Moscow School of Management,skolkovo moscow school of management,NA,NA
2800354493,presbyterian theological college,Presbyterian Theological College,presbyterian theological college,NA,NA
2800493049,portland museum,Portland Museum,portland museum,NA,NA
2800571489,british thyroid foundation,British Thyroid Foundation,british thyroid foundation,NA,NA
2800636457,george w bush presidential center,George W. Bush Presidential Center,george w. bush presidential center,NA,NA
2800753661,malin space science systems united states,Malin Space Science Systems (United States),malin space science systems (united states),NA,NA
2800920610,society for psychical research,Society for Psychical Research,society for psychical research,NA,NA
2801048784,european health management association,European Health Management Association,european health management association,NA,NA
2801352814,kolkata municipal corporation,Kolkata Municipal Corporation,kolkata municipal corporation,NA,NA
2801361913,athens international airport,Athens International Airport,athens international airport,NA,NA
2801381630,points of light,Points of Light,points of light,NA,NA
2801397489,directorate general for health and food safety,Directorate-General for Health and Food Safety,directorate-general for health and food safety,NA,NA
2801585411,duval county public schools,Duval County Public Schools,duval county public schools,NA,NA
2801632001,oroville hospital,Oroville Hospital,oroville hospital,NA,NA
2801730494,construction industry institute,Construction Industry Institute,construction industry institute,NA,NA
2801857084,directorate general for taxation and customs union,Directorate-General for Taxation and Customs Union,directorate-general for taxation and customs union,NA,NA
2801868667,european association of craft small and medium sized enterprises,"European Association of Craft, Small and Medium-Sized Enterprises","european association of craft, small and medium-sized enterprises",NA,NA
2801897168,cornish college of the arts,Cornish College of the Arts,cornish college of the arts,NA,NA
2801937912,xprize foundation,XPRIZE Foundation,xprize foundation,NA,NA
2802054180,science centre ahhaa,Science Centre AHHAA,science centre ahhaa,NA,NA
2802232195,finley hospital,Finley Hospital,finley hospital,NA,NA
2802401747,university college hospital macmillan cancer centre,University College Hospital Macmillan Cancer Centre,university college hospital macmillan cancer centre,NA,NA
2802442800,deutsches forschungsnetz,Deutsches Forschungsnetz,deutsches forschungsnetz,NA,NA
2802472345,hellenic parliament,Hellenic Parliament,hellenic parliament,NA,NA
2802473995,balseiro institute,Balseiro Institute,balseiro institute,NA,NA
2802504371,sakura no seibo junior college,Sakura no Seibo Junior College,sakura no seibo junior college,NA,NA
2802669450,park foundation,Park Foundation,park foundation,NA,NA
2802712373,california conservation corps,California Conservation Corps,california conservation corps,NA,NA
2802808416,ruchill hospital,Ruchill Hospital,ruchill hospital,NA,NA
2802970429,lambton college,Lambton College,lambton college,NA,NA
2948749339,mitsui chemicals,Mitsui Chemicals,mitsui chemicals,NA,NA
2467956,robertson centre for biostatistics,Robertson Centre for Biostatistics,robertson centre for biostatistics,NA,NA
4264650,islamic university of science and technology,Islamic University of Science and Technology,islamic university of science and technology,NA,NA
14000316,hijiyama university,Hijiyama University,hijiyama university,NA,NA
25276648,nexteer automotive,Nexteer Automotive,nexteer automotive,NA,NA
27031042,university of mines and technology,University of Mines and Technology,university of mines and technology,NA,NA
32547653,university of south asia,University of South Asia,university of south asia,NA,NA
40120149,university of oxford,University of Oxford,university of oxford,University of Oxford,United Kingdom
43630177,container corporation of america,Container Corporation of America,container corporation of america,NA,NA
47631775,hampshire college,Hampshire College,hampshire college,NA,NA
47660291,rbs securities,RBS Securities,rbs securities,NA,NA
49847498,cegep du vieux montreal,Cégep du Vieux Montréal,cegep du vieux montreal,NA,NA
53241121,facultad de ciencias exactas y naturales,Facultad de Ciencias Exactas y Naturales,facultad de ciencias exactas y naturales,NA,NA
59376991,aiims new delhi,"AIIMS, New Delhi","aiims, new delhi",NA,NA
63718949,oryol state university,Oryol State University,oryol state university,NA,NA
64251745,technical university of gabrovo,Technical University of Gabrovo,technical university of gabrovo,NA,NA
65322002,volgograd state university,Volgograd State University,volgograd state university,NA,NA
67328108,california state university fresno,"California State University, Fresno","california state university, fresno",NA,NA
68171755,national defense medical center,National Defense Medical Center,national defense medical center,National Defense Medical Center,Taiwan
69416788,south african institute for aquatic biodiversity,South African Institute for Aquatic Biodiversity,south african institute for aquatic biodiversity,NA,NA
71281399,st john providence health system,St. John Providence Health System,st. john providence health system,NA,NA
79793008,universite de thies,Université de Thiès,universite de thies,NA,NA
82977932,cardinal stritch university,Cardinal Stritch University,cardinal stritch university,NA,NA
99501251,ishikawa national college of technology,Ishikawa National College of Technology,ishikawa national college of technology,NA,NA
102607778,cleveland state university,Cleveland State University,cleveland state university,NA,NA
114794399,suez canal university,Suez Canal University,suez canal university,NA,NA
117490054,dartington college of arts,Dartington College of Arts,dartington college of arts,NA,NA
118722661,kyungsung university,Kyungsung University,kyungsung university,NA,NA
122690471,skidaway institute of oceanography,Skidaway Institute of Oceanography,skidaway institute of oceanography,NA,NA
125897886,bain company,Bain & Company,bain & company,NA,NA
129771458,dimitrie cantemir christian university,Dimitrie Cantemir Christian University,dimitrie cantemir christian university,NA,NA
140152758,sinhgad college of engineering,Sinhgad College of Engineering,sinhgad college of engineering,NA,NA
154100212,schlumberger,Schlumberger,schlumberger,NA,NA
162346809,institut national des langues et civilisations orientales,Institut national des langues et civilisations orientales,institut national des langues et civilisations orientales,NA,NA
170138621,atos,Atos,atos,NA,NA
170724917,georgian court university,Georgian Court University,georgian court university,NA,NA
180388969,vanier college,Vanier College,vanier college,NA,NA
187453708,ifae,IFAE,ifae,NA,NA
188836384,otago polytechnic,Otago Polytechnic,otago polytechnic,NA,NA
192703390,ming chuan university,Ming Chuan University,ming chuan university,NA,NA
201298700,banque de france,Banque de France,banque de france,NA,NA
207206903,universiti tun abdul razak,Universiti Tun Abdul Razak,universiti tun abdul razak,NA,NA
228011842,reliance industries,Reliance Industries,reliance industries,NA,NA
286258249,econa,Econa,econa,NA,NA
292311743,zaporizhia state engineering academy,Zaporizhia State Engineering Academy,zaporizhia state engineering academy,NA,NA
345765388,duke street capital,Duke Street Capital,duke street capital,NA,NA
798805333,national oil corporation,National Oil Corporation,national oil corporation,NA,NA
818668190,european atomic energy community,European Atomic Energy Community,european atomic energy community,NA,NA
888320528,london metal exchange,London Metal Exchange,london metal exchange,NA,NA
908309457,free university of brussels,Free University of Brussels,free university of brussels,NA,NA
914889024,san juan de dios educational foundation,San Juan de Dios Educational Foundation,san juan de dios educational foundation,NA,NA
918293176,veda,Veda,veda,NA,NA
929911469,royal ulster constabulary,Royal Ulster Constabulary,royal ulster constabulary,NA,NA
933054736,defence academy of the united kingdom,Defence Academy of the United Kingdom,defence academy of the united kingdom,NA,NA
1280959780,rocky mountain institute,Rocky Mountain Institute,rocky mountain institute,NA,NA
1286406326,bureau of meteorology,Bureau of Meteorology,bureau of meteorology,NA,NA
1287551835,national skin centre,National Skin Centre,national skin centre,NA,NA
1295908608,san francisco general hospital,San Francisco General Hospital,san francisco general hospital,NA,NA
1300154648,nsw bureau of crime statistics and research,NSW Bureau of Crime Statistics and Research,nsw bureau of crime statistics and research,NA,NA
1312409250,institut d estadistica de catalunya,Institut d'Estadística de Catalunya,institut d'estadistica de catalunya,NA,NA
1319772077,medical park,Medical Park,medical park,NA,NA
1320162603,crossbow technology,Crossbow Technology,crossbow technology,NA,NA
1340461270,sgm,SGM,sgm,NA,NA
2799382671,mineralogical society of america,Mineralogical Society of America,mineralogical society of america,NA,NA
2799473192,islamic society of north america,Islamic Society of North America,islamic society of north america,NA,NA
2799715878,lake land college,Lake Land College,lake land college,NA,NA
2799788900,university of economics and innovation,University of Economics and Innovation,university of economics and innovation,NA,NA
2800214767,health safety laboratory,Health & Safety Laboratory,health & safety laboratory,NA,NA
2800257863,whakatane hospital,Whakatane Hospital,whakatane hospital,NA,NA
2800471414,american orchid society,American Orchid Society,american orchid society,NA,NA
2800519366,ungku omar polytechnic,Ungku Omar Polytechnic,ungku omar polytechnic,NA,NA
2800648801,montserrat college of art,Montserrat College of Art,montserrat college of art,NA,NA
2800892737,norwegian association of local and regional authorities,Norwegian Association of Local and Regional Authorities,norwegian association of local and regional authorities,NA,NA
2800935791,uc san diego health system,UC San Diego Health System,uc san diego health system,NA,NA
2801333002,purdue university system,Purdue University System,purdue university system,NA,NA
2801784073,swindon borough council,Swindon Borough Council,swindon borough council,NA,NA
2801897644,ruby hall clinic,Ruby Hall Clinic,ruby hall clinic,NA,NA
2801939835,stockholm county council,Stockholm County Council,stockholm county council,NA,NA
2801949619,dr h gordon roberts hospital,Dr. H. Gordon Roberts Hospital,dr. h. gordon roberts hospital,NA,NA
2801951336,washington hospital,Washington Hospital,washington hospital,NA,NA
2801982411,dance notation bureau,Dance Notation Bureau,dance notation bureau,NA,NA
2802157903,lincoln center for the performing arts,Lincoln Center for the Performing Arts,lincoln center for the performing arts,NA,NA
2802586238,john b lacson foundation maritime university,John B. Lacson Foundation Maritime University,john b. lacson foundation maritime university,NA,NA
2802665030,chi health,CHI Health,chi health,NA,NA
2802832906,vancouver general hospital,Vancouver General Hospital,vancouver general hospital,NA,NA
2802895840,eastern state hospital,Eastern State Hospital,eastern state hospital,NA,NA
2802959637,epsom hospital,Epsom Hospital,epsom hospital,NA,NA
2802961905,school of advertising art,School of Advertising Art,school of advertising art,NA,NA
2803020280,sri jayadeva institute of cardiovascular sciences and research,Sri Jayadeva Institute of Cardiovascular Sciences and Research,sri jayadeva institute of cardiovascular sciences and research,NA,NA
2803024712,glasgow royal maternity hospital,Glasgow Royal Maternity Hospital,glasgow royal maternity hospital,NA,NA
2803062987,ethekwini municipality,EThekwini Municipality,ethekwini municipality,NA,NA
2803083715,laidlaw foundation,Laidlaw Foundation,laidlaw foundation,NA,NA
2803084777,leech lake tribal college,Leech Lake Tribal College,leech lake tribal college,NA,NA
2897726969,turkmen state institute of architecture and construction,Turkmen State Institute of Architecture and Construction,turkmen state institute of architecture and construction,NA,NA
2898153667,neuroendocrine tumor research foundation,Neuroendocrine Tumor Research Foundation,neuroendocrine tumor research foundation,NA,NA
2912311465,georgia piedmont technical college,Georgia Piedmont Technical College,georgia piedmont technical college,NA,NA
2928865620,mubende hospital,Mubende Hospital,mubende hospital,NA,NA
2781204,katwa college,Katwa College,katwa college,NA,NA
11701301,griffith university,Griffith University,griffith university,Griffith University,Australia
11935315,ecole nationale superieure de chimie de montpellier,École nationale supérieure de chimie de Montpellier,ecole nationale superieure de chimie de montpellier,NA,NA
16471300,manipur university,Manipur University,manipur university,NA,NA
19283125,meikai university,Meikai University,meikai university,NA,NA
23686167,national aerospace university kharkiv aviation institute,National Aerospace University – Kharkiv Aviation Institute,national aerospace university - kharkiv aviation institute,NA,NA
26415053,university of l aquila,University of L'Aquila,university of l'aquila,University of L'Aquila,Italy
32883739,stamford university bangladesh,Stamford University Bangladesh,stamford university bangladesh,NA,NA
37076085,health service executive,Health Service Executive,health service executive,NA,NA
37677194,pontifical lateran university,Pontifical Lateran University,pontifical lateran university,NA,NA
38674515,hitachi zosen corporation,Hitachi Zosen Corporation,hitachi zosen corporation,NA,NA
40818664,samsung r d institute india bangalore,Samsung R&D Institute India - Bangalore,samsung r&d institute india - bangalore,NA,NA
43081956,xiangnan university,Xiangnan University,xiangnan university,NA,NA
43439940,university of southampton,University of Southampton,university of southampton,University of Southampton,United Kingdom
47396830,celgene,Celgene,celgene,NA,NA
55022517,heilongjiang university,Heilongjiang University,heilongjiang university,Heilongjiang University,China
58790123,child trends,Child Trends,child trends,NA,NA
61641377,politehnica university of bucharest,Politehnica University of Bucharest,politehnica university of bucharest,NA,NA
